,record_id,region,trending_date,category_title,videos_count
0,1,France,2017-11-14,Autos & Vehicles,8
1,2,France,2017-11-15,Autos & Vehicles,2
2,3,France,2017-11-16,Autos & Vehicles,6
3,4,France,2017-11-17,Autos & Vehicles,8
4,5,France,2017-11-18,Autos & Vehicles,4
5,6,France,2017-11-19,Autos & Vehicles,10
6,7,France,2017-11-20,Autos & Vehicles,12
7,8,France,2017-11-21,Autos & Vehicles,8
8,9,France,2017-11-22,Autos & Vehicles,4
9,10,France,2017-11-23,Autos & Vehicles,6
10,11,France,2017-11-24,Autos & Vehicles,8
11,12,France,2017-11-25,Autos & Vehicles,8
12,13,France,2017-11-26,Autos & Vehicles,10
13,14,France,2017-11-27,Autos & Vehicles,26
14,15,France,2017-11-28,Autos & Vehicles,16
15,16,France,2017-11-29,Autos & Vehicles,4
16,17,France,2017-11-30,Autos & Vehicles,10
17,18,France,2017-12-01,Autos & Vehicles,12
18,19,France,2017-12-02,Autos & Vehicles,6
19,20,France,2017-12-03,Autos & Vehicles,4
20,21,France,2017-12-04,Autos & Vehicles,8
21,22,France,2017-12-05,Autos & Vehicles,8
22,23,France,2017-12-06,Autos & Vehicles,8
23,24,France,2017-12-07,Autos & Vehicles,6
24,25,France,2017-12-08,Autos & Vehicles,2
25,26,France,2017-12-09,Autos & Vehicles,4
26,27,France,2017-12-10,Autos & Vehicles,2
27,28,France,2017-12-12,Autos & Vehicles,4
28,29,France,2017-12-13,Autos & Vehicles,6
29,30,France,2017-12-14,Autos & Vehicles,4
30,31,France,2017-12-16,Autos & Vehicles,6
31,32,France,2017-12-17,Autos & Vehicles,4
32,33,France,2017-12-18,Autos & Vehicles,8
33,34,France,2017-12-19,Autos & Vehicles,8
34,35,France,2017-12-20,Autos & Vehicles,2
35,36,France,2017-12-21,Autos & Vehicles,6
36,37,France,2017-12-22,Autos & Vehicles,8
37,38,France,2017-12-23,Autos & Vehicles,8
38,39,France,2017-12-24,Autos & Vehicles,2
39,40,France,2017-12-26,Autos & Vehicles,4
40,41,France,2017-12-27,Autos & Vehicles,4
41,42,France,2017-12-28,Autos & Vehicles,10
42,43,France,2017-12-29,Autos & Vehicles,6
43,44,France,2017-12-30,Autos & Vehicles,6
44,45,France,2017-12-31,Autos & Vehicles,6
45,46,France,2018-01-01,Autos & Vehicles,2
46,47,France,2018-01-02,Autos & Vehicles,2
47,48,France,2018-01-03,Autos & Vehicles,4
48,49,France,2018-01-04,Autos & Vehicles,2
49,50,France,2018-01-05,Autos & Vehicles,8
50,51,France,2018-01-06,Autos & Vehicles,2
51,52,France,2018-01-08,Autos & Vehicles,6
52,53,France,2018-01-09,Autos & Vehicles,8
53,54,France,2018-01-12,Autos & Vehicles,10
54,55,France,2018-01-14,Autos & Vehicles,2
55,56,France,2018-01-15,Autos & Vehicles,2
56,57,France,2018-01-16,Autos & Vehicles,8
57,58,France,2018-01-17,Autos & Vehicles,2
58,59,France,2018-01-18,Autos & Vehicles,6
59,60,France,2018-01-19,Autos & Vehicles,6
60,61,France,2018-01-21,Autos & Vehicles,4
61,62,France,2018-01-22,Autos & Vehicles,2
62,63,France,2018-01-23,Autos & Vehicles,12
63,64,France,2018-01-24,Autos & Vehicles,6
64,65,France,2018-01-25,Autos & Vehicles,12
65,66,France,2018-01-26,Autos & Vehicles,4
66,67,France,2018-01-27,Autos & Vehicles,10
67,68,France,2018-01-28,Autos & Vehicles,16
68,69,France,2018-01-29,Autos & Vehicles,14
69,70,France,2018-01-30,Autos & Vehicles,12
70,71,France,2018-01-31,Autos & Vehicles,2
71,72,France,2018-02-01,Autos & Vehicles,6
72,73,France,2018-02-02,Autos & Vehicles,6
73,74,France,2018-02-03,Autos & Vehicles,14
74,75,France,2018-02-04,Autos & Vehicles,4
75,76,France,2018-02-05,Autos & Vehicles,6
76,77,France,2018-02-06,Autos & Vehicles,10
77,78,France,2018-02-07,Autos & Vehicles,6
78,79,France,2018-02-08,Autos & Vehicles,10
79,80,France,2018-02-09,Autos & Vehicles,8
80,81,France,2018-02-10,Autos & Vehicles,6
81,82,France,2018-02-11,Autos & Vehicles,2
82,83,France,2018-02-12,Autos & Vehicles,6
83,84,France,2018-02-13,Autos & Vehicles,8
84,85,France,2018-02-14,Autos & Vehicles,2
85,86,France,2018-02-15,Autos & Vehicles,8
86,87,France,2018-02-16,Autos & Vehicles,8
87,88,France,2018-02-17,Autos & Vehicles,4
88,89,France,2018-02-18,Autos & Vehicles,4
89,90,France,2018-02-19,Autos & Vehicles,2
90,91,France,2018-02-20,Autos & Vehicles,8
91,92,France,2018-02-21,Autos & Vehicles,6
92,93,France,2018-02-22,Autos & Vehicles,2
93,94,France,2018-02-23,Autos & Vehicles,10
94,95,France,2018-02-24,Autos & Vehicles,4
95,96,France,2018-02-25,Autos & Vehicles,6
96,97,France,2018-02-26,Autos & Vehicles,12
97,98,France,2018-02-27,Autos & Vehicles,8
98,99,France,2018-02-28,Autos & Vehicles,6
99,100,France,2018-03-01,Autos & Vehicles,4
100,101,France,2018-03-02,Autos & Vehicles,4
101,102,France,2018-03-03,Autos & Vehicles,6
102,103,France,2018-03-04,Autos & Vehicles,4
103,104,France,2018-03-05,Autos & Vehicles,10
104,105,France,2018-03-06,Autos & Vehicles,16
105,106,France,2018-03-07,Autos & Vehicles,14
106,107,France,2018-03-08,Autos & Vehicles,8
107,108,France,2018-03-09,Autos & Vehicles,16
108,109,France,2018-03-10,Autos & Vehicles,6
109,110,France,2018-03-11,Autos & Vehicles,4
110,111,France,2018-03-12,Autos & Vehicles,6
111,112,France,2018-03-13,Autos & Vehicles,6
112,113,France,2018-03-14,Autos & Vehicles,6
113,114,France,2018-03-15,Autos & Vehicles,6
114,115,France,2018-03-16,Autos & Vehicles,8
115,116,France,2018-03-17,Autos & Vehicles,8
116,117,France,2018-03-18,Autos & Vehicles,8
117,118,France,2018-03-19,Autos & Vehicles,8
118,119,France,2018-03-20,Autos & Vehicles,2
119,120,France,2018-03-21,Autos & Vehicles,4
120,121,France,2018-03-22,Autos & Vehicles,4
121,122,France,2018-03-23,Autos & Vehicles,12
122,123,France,2018-03-24,Autos & Vehicles,6
123,124,France,2018-03-25,Autos & Vehicles,6
124,125,France,2018-03-26,Autos & Vehicles,10
125,126,France,2018-03-27,Autos & Vehicles,2
126,127,France,2018-03-28,Autos & Vehicles,8
127,128,France,2018-03-29,Autos & Vehicles,2
128,129,France,2018-03-30,Autos & Vehicles,8
129,130,France,2018-03-31,Autos & Vehicles,8
130,131,France,2018-04-01,Autos & Vehicles,14
131,132,France,2018-04-02,Autos & Vehicles,8
132,133,France,2018-04-03,Autos & Vehicles,4
133,134,France,2018-04-04,Autos & Vehicles,4
134,135,France,2018-04-05,Autos & Vehicles,8
135,136,France,2018-04-06,Autos & Vehicles,10
136,137,France,2018-04-07,Autos & Vehicles,10
137,138,France,2018-04-14,Autos & Vehicles,4
138,139,France,2018-04-16,Autos & Vehicles,4
139,140,France,2018-04-17,Autos & Vehicles,6
140,141,France,2018-04-18,Autos & Vehicles,8
141,142,France,2018-04-19,Autos & Vehicles,8
142,143,France,2018-04-20,Autos & Vehicles,10
143,144,France,2018-04-21,Autos & Vehicles,8
144,145,France,2018-04-23,Autos & Vehicles,14
145,146,France,2018-04-24,Autos & Vehicles,10
146,147,France,2018-04-25,Autos & Vehicles,4
147,148,France,2018-04-26,Autos & Vehicles,4
148,149,France,2018-04-27,Autos & Vehicles,2
149,150,France,2018-04-28,Autos & Vehicles,8
150,151,France,2018-04-29,Autos & Vehicles,4
151,152,France,2018-04-30,Autos & Vehicles,6
152,153,France,2018-05-01,Autos & Vehicles,6
153,154,France,2018-05-02,Autos & Vehicles,2
154,155,France,2018-05-03,Autos & Vehicles,8
155,156,France,2018-05-04,Autos & Vehicles,6
156,157,France,2018-05-05,Autos & Vehicles,6
157,158,France,2018-05-06,Autos & Vehicles,2
158,159,France,2018-05-08,Autos & Vehicles,6
159,160,France,2018-05-09,Autos & Vehicles,2
160,161,France,2018-05-10,Autos & Vehicles,8
161,162,France,2018-05-11,Autos & Vehicles,2
162,163,France,2018-05-12,Autos & Vehicles,2
163,164,France,2018-05-13,Autos & Vehicles,6
